city,date,transportation_type,flow
Belfast,2020-07-04,driving,104.07
Belfast,2020-07-04,walking,88.42
Belfast,2020-07-04,transit,36.7
Belfast,2020-07-05,driving,83.7
Belfast,2020-07-05,walking,58.22
Belfast,2020-07-05,transit,36.76
Belfast,2020-07-06,driving,103.57
Belfast,2020-07-06,walking,81.85
Belfast,2020-07-06,transit,42.85
Belfast,2020-07-07,driving,105.25
Belfast,2020-07-07,walking,87.57
Belfast,2020-07-07,transit,48.6
Belfast,2020-07-08,driving,108.29
Belfast,2020-07-08,walking,87.25
Belfast,2020-07-08,transit,52.67
Belfast,2020-07-09,driving,114.53
Belfast,2020-07-09,walking,94.92
Belfast,2020-07-09,transit,49.67
Belfast,2020-07-10,driving,119.18
Belfast,2020-07-10,walking,102.34
Belfast,2020-07-10,transit,51.54
Belfast,2020-07-11,driving,101.63
Belfast,2020-07-11,walking,93.11
Belfast,2020-07-11,transit,42.85
Belfast,2020-07-12,driving,77.23
Belfast,2020-07-12,walking,57.4
Belfast,2020-07-12,transit,35.7
Belfast,2020-07-13,driving,82.47
Belfast,2020-07-13,walking,70.87
Belfast,2020-07-13,transit,44.18
Belfast,2020-07-14,driving,96.31
Belfast,2020-07-14,walking,77.51
Belfast,2020-07-14,transit,46.52
Belfast,2020-07-15,driving,107.33
Belfast,2020-07-15,walking,92.37
Belfast,2020-07-15,transit,53.94
Belfast,2020-07-16,driving,109.56
Belfast,2020-07-16,walking,99.2
Belfast,2020-07-16,transit,45.25
Belfast,2020-07-17,driving,117.01
Belfast,2020-07-17,walking,108.48
Belfast,2020-07-17,transit,44.39
Belfast,2020-07-18,driving,110.79
Belfast,2020-07-18,walking,112.18
Belfast,2020-07-18,transit,44.32
Belfast,2020-07-19,driving,90.9
Belfast,2020-07-19,walking,72.52
Belfast,2020-07-19,transit,40.57
Belfast,2020-07-20,driving,107.58
Belfast,2020-07-20,walking,95.67
Belfast,2020-07-20,transit,53.61
Belfast,2020-07-21,driving,112.64
Belfast,2020-07-21,walking,101.23
Belfast,2020-07-21,transit,52.41
Belfast,2020-07-22,driving,110.46
Belfast,2020-07-22,walking,93.66
Belfast,2020-07-22,transit,51.27
Belfast,2020-07-23,driving,115.79
Belfast,2020-07-23,walking,100.46
Belfast,2020-07-23,transit,50.74
Belfast,2020-07-24,driving,125.67
Belfast,2020-07-24,walking,117.61
Belfast,2020-07-24,transit,49.33
Belfast,2020-07-25,driving,121.63
Belfast,2020-07-25,walking,132.09
Belfast,2020-07-25,transit,51.34
Belfast,2020-07-26,driving,94.27
Belfast,2020-07-26,walking,72.62
Belfast,2020-07-26,transit,42.71
Belfast,2020-07-27,driving,113.09
Belfast,2020-07-27,walking,95.42
Belfast,2020-07-27,transit,55.75
Belfast,2020-07-28,driving,118.83
Belfast,2020-07-28,walking,103.42
Belfast,2020-07-28,transit,52.61
Belfast,2020-07-29,driving,121.75
Belfast,2020-07-29,walking,110.97
Belfast,2020-07-29,transit,63.77
Belfast,2020-07-30,driving,122.67
Belfast,2020-07-30,walking,110.36
Belfast,2020-07-30,transit,55.55
Belfast,2020-07-31,driving,135.68
Belfast,2020-07-31,walking,139.61
Belfast,2020-07-31,transit,58.36
Belfast,2020-08-01,driving,130.59
Belfast,2020-08-01,walking,157.35
Belfast,2020-08-01,transit,56.95
Belfast,2020-08-02,driving,105.96
Belfast,2020-08-02,walking,109.99
Belfast,2020-08-02,transit,53.41
Belfast,2020-08-03,driving,128.19
Belfast,2020-08-03,walking,126.82
Belfast,2020-08-03,transit,70.32
Belfast,2020-08-04,driving,124.22
Belfast,2020-08-04,walking,125.1
Belfast,2020-08-04,transit,63.9
Belfast,2020-08-05,driving,126.09
Belfast,2020-08-05,walking,123.73
Belfast,2020-08-05,transit,65.64
Belfast,2020-08-06,driving,132.85
Belfast,2020-08-06,walking,128.36
Belfast,2020-08-06,transit,64.57
Belfast,2020-08-07,driving,133.84
Belfast,2020-08-07,walking,141.09
Belfast,2020-08-07,transit,65.51
Belfast,2020-08-08,driving,129.08
Belfast,2020-08-08,walking,157.11
Belfast,2020-08-08,transit,56.89
Belfast,2020-08-09,driving,102.52
Belfast,2020-08-09,walking,98.66
Belfast,2020-08-09,transit,54.88
Belfast,2020-08-10,driving,122.9
Belfast,2020-08-10,walking,129.18
Belfast,2020-08-10,transit,73.46
Belfast,2020-08-11,driving,128.27
Belfast,2020-08-11,walking,134.99
Belfast,2020-08-11,transit,70.39
Belfast,2020-08-12,driving,132.21
Belfast,2020-08-12,walking,141.14
Belfast,2020-08-12,transit,74.06
Belfast,2020-08-13,driving,134.18
Belfast,2020-08-13,walking,135.66
Belfast,2020-08-13,transit,67.51
Belfast,2020-08-14,driving,137.7
Belfast,2020-08-14,walking,151.89
Belfast,2020-08-14,transit,72.86
Belfast,2020-08-15,driving,128.05
Belfast,2020-08-15,walking,158.99
Belfast,2020-08-15,transit,59.56
Belfast,2020-08-16,driving,101.58
Belfast,2020-08-16,walking,96.63
Belfast,2020-08-16,transit,53.34
Belfast,2020-08-17,driving,122.21
Belfast,2020-08-17,walking,125.9
Belfast,2020-08-17,transit,72.46
Belfast,2020-08-18,driving,125.98
Belfast,2020-08-18,walking,131.32
Belfast,2020-08-18,transit,71.06
Belfast,2020-08-19,driving,127.51
Belfast,2020-08-19,walking,133.7
Belfast,2020-08-19,transit,70.19
Belfast,2020-08-20,driving,121.39
Belfast,2020-08-20,walking,125.53
Belfast,2020-08-20,transit,68.78
Belfast,2020-08-21,driving,135.01
Belfast,2020-08-21,walking,151.94
Belfast,2020-08-21,transit,70.25
Belfast,2020-08-22,driving,129.93
Belfast,2020-08-22,walking,164.38
Belfast,2020-08-22,transit,65.31
Belfast,2020-08-23,driving,102.47
Belfast,2020-08-23,walking,106.88
Belfast,2020-08-23,transit,64.77
Belfast,2020-08-24,driving,123.38
Belfast,2020-08-24,walking,138.23
Belfast,2020-08-24,transit,72.73
Belfast,2020-08-25,driving,122.19
Belfast,2020-08-25,walking,134.09
Belfast,2020-08-25,transit,73.46
Belfast,2020-08-26,driving,127.56
Belfast,2020-08-26,walking,143.74
Belfast,2020-08-26,transit,80.01
Belfast,2020-08-27,driving,125.78
Belfast,2020-08-27,walking,125.12
Belfast,2020-08-27,transit,78.74
Belfast,2020-08-28,driving,140.22
Belfast,2020-08-28,walking,152.52
Belfast,2020-08-28,transit,80.28
Belfast,2020-08-29,driving,135.4
Belfast,2020-08-29,walking,173.34
Belfast,2020-08-29,transit,68.45
Belfast,2020-08-30,driving,107.56
Belfast,2020-08-30,walking,123.84
Belfast,2020-08-30,transit,62.3
Belfast,2020-08-31,driving,121.04
Belfast,2020-08-31,walking,128
Belfast,2020-08-31,transit,91.84
Belfast,2020-09-01,driving,122.87
Belfast,2020-09-01,walking,134.99
Belfast,2020-09-01,transit,79.68
Belfast,2020-09-02,driving,119.41
Belfast,2020-09-02,walking,123.37
Belfast,2020-09-02,transit,70.79
Belfast,2020-09-03,driving,123.36
Belfast,2020-09-03,walking,135.6
Belfast,2020-09-03,transit,75.13
Belfast,2020-09-04,driving,160.13
Belfast,2020-09-04,walking,159.88
Belfast,2020-09-04,transit,73.86
Belfast,2020-09-05,driving,139.42
Belfast,2020-09-05,walking,186.48
Belfast,2020-09-05,transit,71.19
Belfast,2020-09-06,driving,107.01
Belfast,2020-09-06,walking,109.82
Belfast,2020-09-06,transit,72.19
Belfast,2020-09-07,driving,117.25
Belfast,2020-09-07,walking,132.22
Belfast,2020-09-07,transit,70.59
Belfast,2020-09-08,driving,124.4
Belfast,2020-09-08,walking,142.37
Belfast,2020-09-08,transit,76.67
Belfast,2020-09-09,driving,121.74
Belfast,2020-09-09,walking,138.29
Belfast,2020-09-09,transit,68.18
Belfast,2020-09-10,driving,120.43
Belfast,2020-09-10,walking,127.42
Belfast,2020-09-10,transit,69.25
Belfast,2020-09-11,driving,134.34
Belfast,2020-09-11,walking,158.04
Belfast,2020-09-11,transit,69.18
Belfast,2020-09-12,driving,135.78
Belfast,2020-09-12,walking,182.89
